144027,0,,,,,,,,,,53,35,000000000000000000000000000000000007000000000000000000000000000000000000,000000,00000000,,,,,,,,0,0,0,0,0,0,,53,AB,AB,,,0,0,,,,,,,,,,,,,,,53,35,000000000000000000000000000000000007000000000000000000000000000000000000,000000,00000000,,,,,,,,0,0,0,0,0,0,,53,AB,AB,,,0,0,,,,,,,,,,,,,
144182,2,,,,,,,,,53,35,53,000000000000000000000000000000000007000000000000000000000000000000000000,,00000001,,,,,,,,1,1,0,1,1,1,,5335,ABBA,ABAB,,,0,1,,,,,,,,,,,,,,53,35,53,000000000000000000000000000000000007000000000000000000000000000000000000,,00000001,,,,,,,,1,1,0,1,1,1,,5335,ABBA,ABAB,,,0,1,,,,,,,,,,,,,
144231,3,,,,,,,,,35,53,23,000000000000350000000000000000000007000000000000000000000000000000000000,,00000012,,,,,,,,2,2,0,11,11,12,,533553,ABBAAB,ABABAB,,,0,12,,,,,,,,,,,,,,53,35,53,000000000000000000000000000000000007000000000000000000000000000000000000,,00000001,,,,,,,,1,1,0,1,1,1,,5335,ABBA,ABAB,,,0,1,,,,,,,,,,,,,
144233,4,,,,,,,,,35,53,23,000000000000350000000000000000000007000000000000000000000000000000000000,,00000012,,,,,,,,2,2,0,11,11,12,,533553,ABBAAB,ABABAB,,,0,12,,,,,,,,,,,,,,35,53,23,000000000000530000000000000000000007000000000000000000000000000000000000,,00000013,,,,,,,,2,2,0,12,12,13,,533553,ABBAAB,ABABAB,,,0,13,,,,,,,,,,,,,
144285,6,,,,,,,,,53,23,33,350000000000350000000000000000000007000000000000000000000000000000000000,,00000025,,,,,,,,3,3,0,13,13,25,,53355323,BAABBACA,ABABABAC,,,0,25,,,,,,,,,,,,,,53,23,33,530000000000530000000000000000000007000000000000000000000000000000000000,,00000025,,,,,,,,3,3,0,12,12,25,,53355323,BAABBACA,ABABABAC,,,0,25,,,,,,,,,,,,,
144334,7,,,,,,,,,53,23,33,350000000000350000000000000000000007000000000000000000000000000000000000,,00000025,,,,,,,,3,3,0,13,13,25,,53355323,BAABBACA,ABABABAC,,,0,25,,,,,,,,,,,,,,23,33,13,533000000000535000000000000000000007000000000000000000000000000000000000,,00000036,,,,,,,,4,4,0,11,11,36,,5335532333,BAABBACAAA,ABABABACAA,,,0,36,,,,,,,,,,L_T1_GTR03_33000001,,,
144336,8,,,,,,,,,23,33,13,355000000000353000000000000000000007000000000000000000000000000000000000,,00000037,,,,,,,,4,4,0,12,12,37,,5335532333,BAABBACAAA,ABABABACAA,,,0,37,,,,,,,,,,L_T1_GTR03_33000001,,,,23,33,13,533000000000535000000000000000000007000000000000000000000000000000000000,,00000036,,,,,,,,4,4,0,11,11,36,,5335532333,BAABBACAAA,ABABABACAA,,,0,36,,,,,,,,,,L_T1_GTR03_33000001,,,
144383,9,,,,,,,,,23,33,13,355000000000353000000000000000000007000000000000000000000000000000000000,,00000037,,,,,,,,4,4,0,12,12,37,,5335532333,BAABBACAAA,ABABABACAA,,,0,37,,,,,,,,,,L_T1_GTR03_33000001,,,,33,13,32,533000000000535000000000200000000007300000000000000000000000000000000000,,00000049,,,,,,,,5,5,0,13,13,49,,533553233313,BAABBACAAADA,ABABABACAAAD,,,0,49,,,,,,,,,,L_T1_GTR03_33000001,,,
144385,10,,,,,,,,,33,13,32,355000000000353000000000230000000007000000000000000000000000000000000000,,00000049,,,,,,,,5,5,0,12,12,49,,533553233313,BAABBACAAADA,ABABABACAAAD,,,0,49,,,,,L_T1_GTR___standard,,,,,L_T1_GTR03_33000001,,,,33,13,32,533000000000535000000000200000000007300000000000000000000000000000000000,,00000049,,,,,,,,5,5,0,13,13,49,,533553233313,BAABBACAAADA,ABABABACAAAD,,,0,49,,,,,,,,,,L_T1_GTR03_33000001,,,
144437,12,,,,,,,,,13,32,25,355000000000353000000000230000000007300000000000300000000000000000000000,,00000062,,,,,,,,6,6,0,13,13,62,,53355323331332,BAABBACAAADAAC,ABABABACAAADAC,,,0,62,,,,,L_T1_GTR___standard,,,,,L_T1_GTR03_51000001/L_T1_GTR03_33000001,,,,13,32,25,533000000000535000000000200000000007300000000000300000000000300000000000,,00000062,,,,,,,,6,6,0,13,13,62,,53355323331332,BAABBACAAADAAC,ABABABACAAADAC,,,0,62,,,,,,,,,,L_T1_GTR03_33000001,,,
144485,13,,,,,,,,,13,32,25,355000000000353000000000230000000007300000000000300000000000000000000000,,00000062,,,,,,,,6,6,0,13,13,62,,53355323331332,BAABBACAAADAAC,ABABABACAAADAC,,,0,62,,,,,L_T1_GTR___standard,,,,,L_T1_GTR03_51000001/L_T1_GTR03_33000001,,,,32,25,55,533130000000535000000000200000000007300000000000300000000000300000000000,,00000072,,,,,,,,7,7,0,10,10,72,,5335532333133225,BAABBACAAADAACCB,ABABABACAAADACBC,,,0,72,,,,,,,,,,L_T1_GTR03_33000001,,,
